run,slope,surface,rainfall,replicate,condition
1,15,sand,med,1,1
2,15,sand,med,2,1
3,15,sand,med,3,1
4,15,sand,med,4,1
5,10,sand,med,1,2
6,10,sand,med,2,2
7,10,sand,med,3,2
8,10,sand,med,4,2
9,5,sand,med,1,3
10,5,sand,med,2,3
11,5,sand,med,3,3
12,5,sand,med,4,3
13,5,sand,low,1,4
14,5,sand,low,2,4
15,5,sand,low,3,4
16,5,sand,low,4,4
17,10,sand,low,1,5
18,10,sand,low,2,5
19,10,sand,low,3,5
20,10,sand,low,4,5
21,15,sand,low,1,6
22,15,sand,low,2,6
23,15,sand,low,3,6
24,15,sand,low,4,6
25,15,sand,high,1,7
26,15,sand,high,2,7
27,15,sand,high,3,7
28,15,sand,high,4,7
29,10,sand,high,1,8
30,10,sand,high,2,8
31,10,sand,high,3,8
32,10,sand,high,4,8
33,5,sand,high,1,9
34,5,sand,high,2,9
35,5,sand,high,3,9
36,5,sand,high,4,9
37,5,concrete,high,1,10
38,5,concrete,high,2,10
39,5,concrete,high,3,10
40,5,concrete,high,4,10
41,10,concrete,high,1,11
42,10,concrete,high,2,11
43,10,concrete,high,3,11
44,10,concrete,high,4,11
45,15,concrete,high,1,12
46,15,concrete,high,2,12
47,15,concrete,high,3,12
48,15,concrete,high,4,12
49,15,concrete,med,1,13
50,15,concrete,med,2,13
51,15,concrete,med,3,13
52,15,concrete,med,4,13
53,10,concrete,med,1,14
54,10,concrete,med,2,14
55,10,concrete,med,3,14
56,10,concrete,med,4,14
57,5,concrete,med,1,15
58,5,concrete,med,2,15
59,5,concrete,med,3,15
60,5,concrete,med,4,15
61,5,concrete,low,1,16
62,5,concrete,low,2,16
63,5,concrete,low,3,16
64,5,concrete,low,4,16
65,10,concrete,low,1,17
66,10,concrete,low,2,17
67,10,concrete,low,3,17
68,10,concrete,low,4,17
69,15,concrete,low,1,18
70,15,concrete,low,2,18
71,15,concrete,low,3,18
72,15,concrete,low,4,18